fips_code,population_estimate_2020,population_estimate_2021,population_estimate_2022,population_estimate_2023
47031,58139,58983,59779,60633
47033,13908,13990,13862,13982
47035,61379,62391,63482,64760
47037,716059,700860,707351,712334
47039,11433,11402,11549,11656
47041,20189,20500,21002,21225
47043,54440,55174,55727,56729
47045,36716,36609,36440,36498
47047,41870,42616,43338,44175
47049,18533,18835,19335,19696
47051,42845,43196,44119,44654
47053,50444,50468,50826,51045
47055,30340,30401,30540,30721
47057,23569,23800,24185,24681
47059,70344,70565,71292,72577
47061,13543,13587,13779,13955
47063,64542,64360,65167,66216
47065,367251,369005,374602,379864
47067,6627,6794,6846,6956
47069,25440,25260,25511,25567
47071,26804,26871,27065,27229
47073,56721,57202,57903,58600
47075,17826,17691,17518,17328
47077,27824,27906,27907,28070
47079,32149,32246,32382,32554
47081,24972,25080,25481,25826
47083,8308,8298,8247,8393
47085,18998,19178,19023,19209
47087,11633,11771,12015,12363
47089,54916,55547,56660,57838
47091,17990,18053,18046,18375
47093,480516,485941,495380,500669
47095,6995,6596,6500,6347
47097,25123,24878,24741,24610
47099,44181,44768,45502,46114
47101,12606,12852,12912,13066
47103,35331,35435,36006,36169
47105,55129,56785,58244,60591
47107,53343,53921,54695,55678
47109,25857,25846,25993,26163
47111,25267,25673,26214,26793
47113,98832,98557,99172,99193
47115,28870,28919,29050,29382
47117,34475,35059,35857,36961
47119,101826,104942,107996,110760
47121,12808,13019,13258,13691
47123,46394,46649,47680,48594
47125,221281,227741,234899,239872
47127,6470,6651,6716,6748
47129,21042,21107,21207,21573
47131,30775,30459,30374,30411
47133,22590,22831,22993,23327
47135,8381,8493,8705,8891
47137,5000,5069,5103,5128
47139,17566,17714,17778,18033
47141,80071,81250,82470,83844
47143,32938,33189,33689,33924
47145,53517,54088,55129,56096
47147,72953,74031,75398,76776
47149,343298,351194,360682,367101
47151,21876,21891,21999,22171
47153,15848,16448,16918,17161
47155,98562,99435,98806,99415
47157,929763,923382,916357,910042
47159,19971,20169,20470,20538
47161,13706,13808,13994,14222
47163,158246,159212,160862,162135
47165,197416,200505,203721,207994
47167,61042,61059,61650,62015
47169,11635,11605,12077,12271
47171,17886,17631,17591,17756
47173,19845,20013,20473,20741
47175,6174,6293,6430,6493
47177,41052,41468,42001,42638
47179,133219,133460,136147,138420
47181,16222,16329,16266,16066
47183,32903,32883,33043,33084
47185,27444,27541,28000,28692
47187,249552,256065,260738,264460
47189,148659,152036,158593,163674
48001,57930,58302,57227,57736
48003,18612,18411,18324,18664
48005,86388,86730,87124,87319
48007,23932,24510,24963,25374
