fips_code,unemployment_rate_2020,unemployment_rate_2021,unemployment_rate_2022
51019,5.300000000000001,3.4,2.9
51021,5.9,3.5,2.9
51023,4.7,3.0,2.6
51025,8.200000000000001,6.2,4.600000000000001
51027,9.8,6.600000000000001,4.7
51029,7.600000000000001,5.2,3.9
51031,6.100000000000001,3.8,3.1
51033,7.0,4.3,3.2
51035,8.5,4.100000000000001,3.5
51036,6.9,4.3,3.1
51037,5.800000000000001,3.7,3.0
51041,6.100000000000001,3.6,2.8
51043,4.800000000000001,3.1,2.5
51045,5.300000000000001,3.3,3.0
51047,5.100000000000001,3.3,2.8
51049,6.300000000000001,4.3,3.4
51051,8.200000000000001,5.300000000000001,4.4
51053,6.600000000000001,4.5,3.3
51057,7.2,4.7,3.4
51059,6.0,3.5,2.5
51061,4.9,3.0,2.6
51063,5.2,3.1,2.5
51065,5.5,3.3,2.6
51067,5.600000000000001,3.6,2.9
51069,4.800000000000001,2.9,2.4
51071,6.5,3.5,3.1
51073,5.600000000000001,3.4,2.7
51075,5.0,3.1,2.7
51077,6.0,3.4,2.6
51079,5.4,3.0,2.4
51083,7.300000000000001,4.800000000000001,3.9
51085,5.0,3.0,2.4
51087,6.7,4.0,2.8
51089,7.9,4.7,3.4
51091,3.9,2.9,2.3
51093,5.2,3.5,2.8
51097,5.300000000000001,3.2,2.6
51099,4.600000000000001,2.9,2.6
51101,5.5,3.3,2.7
51103,7.600000000000001,5.300000000000001,3.6
51105,6.600000000000001,4.100000000000001,3.8
51107,5.5,3.1,2.4
51109,5.4,3.4,2.7
51111,5.5,3.8,3.4
51113,4.0,2.5,2.2
51115,5.100000000000001,3.2,2.9
51117,7.0,4.7,3.6
51119,5.300000000000001,3.4,2.7
51121,4.9,3.0,2.8
51125,5.9,3.5,2.8
51127,4.7,3.0,2.4
51131,8.1,5.2,3.5
51133,6.600000000000001,4.800000000000001,4.0
51135,5.300000000000001,3.7,3.1
51137,5.800000000000001,3.6,3.0
51139,7.600000000000001,4.600000000000001,3.4
51141,7.100000000000001,4.5,3.6
51143,6.7,4.0,3.1
51145,5.0,2.9,2.5
51147,6.7,4.9,3.9
51149,6.7,4.5,3.4
51153,6.7,3.9,2.7
51155,8.1,4.0,3.1
51157,4.7,2.9,2.5
51159,5.100000000000001,3.5,2.9
51161,5.300000000000001,3.2,2.6
51163,5.7,3.7,2.9
51165,4.9,3.0,2.6
51167,6.9,4.4,3.6
51169,5.600000000000001,3.6,3.2
51171,5.5,3.6,2.8
51173,6.7,4.2,3.2
51175,5.100000000000001,3.5,2.8
51177,6.2,3.8,2.9
51179,5.800000000000001,3.7,2.9
51181,5.9,3.8,3.0
51183,8.9,6.4,4.2
51185,7.9,5.300000000000001,4.2
51187,6.0,3.6,2.9
51191,6.0,3.6,2.9
51193,6.100000000000001,4.4,3.2
51195,7.800000000000001,5.2,4.100000000000001
51197,8.0,4.100000000000001,3.1
51199,5.7,3.3,2.8
51510,6.2,3.8,2.4
51520,7.800000000000001,4.7,3.4
51530,5.800000000000001,3.9,3.1
51540,6.7,3.7,2.6
51550,6.300000000000001,3.8,2.9
51570,7.4,4.7,3.2
51580,10.0,5.800000000000001,4.100000000000001
51590,10.0,6.4,4.600000000000001
51595,11.4,7.7,4.7
51600,6.0,3.4,2.4
51610,4.0,2.7,2.2
51620,8.700000000000001,6.7,4.100000000000001
51630,7.4,4.7,3.4
51640,8.0,4.2,3.1
51650,8.8,5.5,3.8
51660,6.600000000000001,4.100000000000001,3.4
51670,11.2,7.2,4.4
51678,7.2,5.0,4.100000000000001
51680,7.5,5.100000000000001,3.9
51683,6.800000000000001,3.9,2.6
51685,6.9,3.8,2.5
51690,11.3,7.300000000000001,4.600000000000001
51700,9.0,5.5,3.6
51710,9.0,5.600000000000001,3.5
51720,7.7,5.0,3.8
51730,14.7,10.2,5.600000000000001
