fips_code,crime_rate_per_100000,crime_id,murder,rape,robbery,burglary
13153,331.8479188,739,8,31,166,1142
20167,331.7467186,741,0,1,0,40
19117,331.5801509,742,0,3,1,59
12117,331.3908554,744,17,86,357,2478
51683,330.8955761,749,3,8,51,111
48321,330.6733712,751,1,11,19,290
17135,330.4781817,753,0,5,3,102
22119,329.4163922,755,1,11,13,153
13171,328.5260872,757,3,8,7,79
13129,328.2099109,758,4,10,11,345
48347,327.567733,761,1,24,30,430
1121,326.7732071,762,3,25,39,1028
54101,326.0991791,764,3,0,1,26
37197,325.9897997,765,2,6,6,376
1129,325.8873022,766,2,3,3,68
22121,325.5605746,767,4,2,7,72
47173,324.5733431,769,2,7,9,237
